C,C/K,D,S,S/K,k,r,sigma,t
0.35,0.00032,0.025,1064.92,0.98157,1084.92,0.0124,0.0291,0.2149
4.72,0.00564,0.023,817.52,0.97612,837.52,0.025,0.09745,0.1425
4.18,0.00462,0.033,904.2,1.0,904.2,0.0202,0.04914,0.0663
0.0,0.0,0.021,1077.22,0.9642,1117.22,0.0115,0.01586,0.105
0.0,0.0,0.022,828.92,0.91198,908.92,0.0239,0.01663,1.4385
96.42,0.13158,0.021,832.8,1.13646,732.8,0.0189,0.03936,1.0008
82.24,0.07837,0.031,1069.44,1.01906,1049.44,0.0232,0.3224,0.2939
40.95,0.04286,0.025,995.49,1.04186,955.49,0.0295,0.09484,0.0796
1.97,0.00168,0.031,1130.35,0.96582,1170.35,0.0172,0.06351,0.2455
79.24,0.10635,0.021,825.09,1.10737,745.09,0.0141,0.06333,0.1112
99.61,0.0964,0.027,1133.29,1.09678,1033.29,0.0253,0.02298,0.0869
2.78,0.00306,0.023,848.14,0.93393,908.14,0.0263,0.12659,0.1993
0.0,0.0,0.028,968.26,0.92368,1048.26,0.0182,0.02434,0.1777
41.7,0.05341,0.025,820.74,1.05123,780.74,0.0166,0.10379,0.2232
57.56,0.0774,0.027,803.63,1.08069,743.63,0.0146,0.08354,0.2989
58.5,0.06568,0.027,950.64,1.06737,890.64,0.0222,0.05829,0.2988
2.48,0.00274,0.021,823.76,0.91148,903.76,0.0178,0.17768,0.1526
64.84,0.06088,0.033,1145.11,1.07511,1065.11,0.0166,0.0622,1.3457
24.47,0.02523,0.023,989.7,1.02062,969.7,0.0285,0.08736,0.1114
6.19,0.00511,0.033,1171.49,0.96698,1211.49,0.0106,0.08963,0.276
81.21,0.10802,0.028,831.8,1.10641,751.8,0.0226,0.22247,0.0981
36.54,0.0372,0.03,1022.34,1.04072,982.34,0.01,0.0188,0.1666
77.2,0.08196,0.031,1021.89,1.08494,941.89,0.0147,0.02411,0.1576
0.01,1e-05,0.029,879.02,0.97775,899.02,0.0226,0.03051,0.0806
14.24,0.0147,0.035,888.48,0.9174,968.48,0.01,0.14859,0.7809
20.87,0.0192,0.022,1106.89,1.0184,1086.89,0.0272,0.05186,0.0654
57.65,0.0579,0.028,1055.69,1.06026,995.69,0.0103,0.03555,0.1218
96.35,0.0908,0.035,1161.11,1.09424,1061.11,0.0268,0.04826,0.3023
38.72,0.04423,0.028,915.42,1.04569,875.42,0.0187,0.02765,0.139
7.71,0.00683,0.03,1129.34,1.0,1129.34,0.0173,0.06977,0.068
0.0,0.0,0.03,1077.16,0.93087,1157.16,0.0287,0.05129,0.1421
84.04,0.08635,0.028,1013.29,1.0411,973.29,0.0124,0.4296,0.1398
0.28,0.00031,0.031,861.74,0.95564,901.74,0.0259,0.05011,0.255
0.68,0.00071,0.027,937.72,0.97912,957.72,0.028,0.05009,0.1026
0.03,3e-05,0.033,953.73,0.92261,1033.73,0.0152,0.03141,1.5885
10.33,0.00998,0.029,1014.67,0.98067,1034.67,0.0161,0.08005,0.398
14.46,0.01542,0.024,937.77,1.0,937.77,0.0228,0.10098,0.1492
85.14,0.09414,0.033,984.37,1.08846,904.37,0.0107,0.18889,0.2781
0.86,0.00078,0.032,1064.67,0.96379,1104.67,0.0264,0.07318,0.1216
12.0,0.01115,0.022,1035.86,0.96282,1075.86,0.0243,0.08615,0.5631
81.45,0.087,0.024,1016.24,1.08545,936.24,0.0293,0.06397,0.3964
11.73,0.01154,0.035,1016.86,1.0,1016.86,0.0119,0.06609,0.329
76.81,0.08059,0.025,1033.09,1.08394,953.0899999999999,0.0213,0.02957,0.5833
9.34,0.00908,0.03,1008.75,0.98056,1028.75,0.0184,0.07958,0.349
37.39,0.03579,0.027,1044.57,1.0,1044.57,0.0104,0.18045,0.2831
57.09,0.05104,0.022,1158.59,1.03576,1118.59,0.0107,0.2651,0.0808
123.03,0.13913,0.034,944.27,1.06785,884.27,0.0177,0.24098,1.5346
0.0,0.0,0.034,931.99,0.93952,991.99,0.02,0.05982,0.0965
6.37,0.00633,0.025,985.92,0.98012,1005.92,0.0168,0.09037,0.1668
16.96,0.0146,0.035,1081.96,0.93115,1161.96,0.0239,0.31576,0.1103
43.82,0.04873,0.03,939.21,1.04448,899.21,0.0143,0.15953,0.1017
51.13,0.04587,0.021,1154.77,1.03588,1114.77,0.0229,0.13019,0.2
20.53,0.02613,0.021,805.73,1.02545,785.73,0.0247,0.02613,0.1989
19.57,0.02103,0.024,950.75,1.02149,930.75,0.0105,0.05478,0.0547
97.78,0.129,0.028,857.98,1.13193,757.98,0.0212,0.03966,0.2811
12.29,0.01046,0.029,1194.61,1.01703,1174.61,0.0212,0.018,1.9474
92.12,0.09144,0.033,1107.45,1.09926,1007.45,0.0169,0.06852,0.4315
7.41,0.00684,0.021,1024.11,0.94466,1084.11,0.0116,0.06038,1.6308
20.92,0.01798,0.032,1163.65,1.0,1163.65,0.0142,0.17304,0.073
117.6,0.15357,0.02,825.79,1.07835,765.79,0.0293,0.09686,5.6892
51.47,0.06821,0.027,814.63,1.07951,754.63,0.0196,0.04693,1.7864
98.78,0.10268,0.021,1062.06,1.10394,962.06,0.0107,0.10986,0.1044
66.69,0.07573,0.034,920.6,1.04542,880.6,0.0158,0.35752,0.1253
0.0,0.0,0.028,984.99,0.94258,1044.99,0.0164,0.05753,0.0672
0.0,0.0,0.02,929.11,0.95873,969.11,0.0298,0.02427,0.0838
106.76,0.0981,0.035,1108.26,1.01838,1088.26,0.0284,0.23032,1.0718
70.23,0.05855,0.024,1199.44,1.0,1199.44,0.0118,0.12639,2.0928
39.91,0.03473,0.027,1189.21,1.03481,1149.21,0.0126,0.07776,0.147
77.36,0.09924,0.023,859.54,1.10262,779.54,0.0111,0.08484,0.2529
2.36,0.00188,0.029,1174.69,0.93624,1254.69,0.0286,0.0982,0.2451
5.56,0.00483,0.033,1110.55,0.96523,1150.55,0.0156,0.12377,0.1293
39.47,0.04019,0.031,1022.06,1.04073,982.06,0.0296,0.03813,0.2668
29.9,0.02706,0.021,1085.04,0.9819,1105.04,0.0221,0.26707,0.1124
0.13,0.00014,0.033,941.93,0.97921,961.93,0.0271,0.02411,0.2444
0.0,0.0,0.031,1158.38,0.9354,1238.38,0.0226,0.01705,0.0795
31.53,0.03671,0.028,858.88,1.0,858.88,0.0219,0.12345,0.6339
99.33,0.12414,0.021,900.16,1.12498,800.16,0.022,0.05736,1.8435
40.06,0.05025,0.028,837.14,1.05018,797.14,0.0297,0.05617,0.1213
100.78,0.13125,0.021,867.84,1.13024,767.84,0.0297,0.05574,0.1711
78.49,0.08979,0.035,894.12,1.02288,874.12,0.0248,0.22302,0.9015
78.13,0.10731,0.035,808.11,1.10987,728.11,0.015,0.09571,0.1082
0.02,2e-05,0.029,1144.68,0.93468,1224.68,0.0181,0.07877,0.092
141.36,0.12443,0.022,1196.1,1.05281,1136.1,0.0295,0.18621,1.515
0.03,2e-05,0.033,1177.14,0.9515,1237.14,0.0263,0.05891,0.104
62.12,0.06149,0.023,1070.26,1.05939,1010.26,0.026,0.10198,0.1789
99.75,0.10353,0.031,1063.5,1.10379,963.5,0.0228,0.19366,0.0676
13.0,0.01187,0.03,1095.27,1.0,1095.27,0.0182,0.04357,1.0119
80.0,0.07724,0.023,1115.73,1.07724,1035.73,0.0153,0.15592,0.0722
0.5,0.00045,0.032,1085.26,0.9819,1105.26,0.0182,0.04016,0.1175
2.59,0.00252,0.028,987.14,0.96106,1027.1399999999999,0.0197,0.11267,0.1086
102.94,0.1055,0.034,1035.7,1.06149,975.7,0.0298,0.27968,0.406
99.59,0.13423,0.026,841.95,1.13478,741.95,0.0226,0.16097,0.0924
0.0,0.0,0.035,869.98,0.93548,929.98,0.0151,0.08322,0.0577
2.29,0.00198,0.026,1115.19,0.96537,1155.19,0.0235,0.0336,0.9574
3.08,0.00288,0.028,987.73,0.92507,1067.73,0.0114,0.0613,1.5602
57.1,0.05011,0.028,1199.59,1.05265,1139.59,0.0212,0.04946,0.4302
71.48,0.06601,0.034,1182.87,1.09235,1082.87,0.0202,0.05643,2.7074
1.99,0.00214,0.023,849.22,0.91391,929.22,0.0154,0.10103,0.4184
59.1,0.05864,0.034,1067.91,1.05953,1007.9100000000001,0.0237,0.08853,0.0809
0.04,4e-05,0.022,954.84,0.92269,1034.8400000000001,0.0102,0.05617,0.3214
79.91,0.0848,0.021,1022.38,1.08489,942.38,0.0212,0.081,0.0598
39.67,0.04422,0.029,937.09,1.04459,897.09,0.0253,0.05886,0.0781
62.25,0.08266,0.029,813.05,1.07968,753.05,0.0147,0.12013,0.5926
4.84,0.00422,0.032,1086.79,0.94768,1146.79,0.0264,0.15976,0.1127
108.28,0.12246,0.03,984.18,1.1131,884.18,0.0181,0.25957,0.2036
62.34,0.06927,0.025,960.02,1.06667,900.02,0.0275,0.12155,0.1737
11.06,0.00967,0.025,1124.11,0.98252,1144.11,0.0162,0.05516,0.8206
98.24,0.10003,0.024,1082.07,1.10183,982.0699999999999,0.0121,0.06351,0.1252
65.69,0.05816,0.034,1189.44,1.05312,1129.44,0.025,0.15539,0.1447
0.0,0.0,0.034,887.92,0.91735,967.92,0.0149,0.03636,0.0674
1.81,0.00189,0.028,897.56,0.93734,957.56,0.0162,0.16224,0.0892
59.16,0.05807,0.034,1078.72,1.0589,1018.72,0.0296,0.06105,0.1359
70.45,0.06131,0.026,1129.12,0.9826,1149.12,0.027,0.20988,0.7239
7.65,0.00753,0.021,1015.94,1.0,1015.94,0.017,0.03335,0.394
4.92,0.00511,0.03,923.64,0.95849,963.64,0.0177,0.12077,0.1749
0.19,0.00021,0.024,807.64,0.90987,887.64,0.0251,0.09369,0.2142
0.02,2e-05,0.024,890.43,0.95701,930.43,0.0179,0.03476,0.2346
9.77,0.00959,0.024,938.75,0.92147,1018.75,0.0208,0.23267,0.1653
33.75,0.02952,0.031,1163.22,1.01749,1143.22,0.0199,0.07221,0.7622
0.73,0.00082,0.033,810.34,0.91015,890.34,0.0226,0.06996,0.667
24.43,0.02671,0.029,934.59,1.02187,914.59,0.0245,0.06162,0.3468
0.04,4e-05,0.033,965.71,0.9235,1045.71,0.0205,0.05172,0.3751
60.3,0.0784,0.029,829.13,1.07801,769.13,0.0112,0.16193,0.1267
29.51,0.02779,0.027,981.94,0.92467,1061.94,0.0252,0.38428,0.1552
179.0,0.17296,0.021,1114.91,1.0773,1034.91,0.0218,0.31369,1.0778
71.58,0.09161,0.024,801.33,1.0256,781.33,0.0295,0.0608,8.7607
29.37,0.0319,0.03,900.74,0.97828,920.74,0.0279,0.15028,0.5219
23.21,0.01986,0.033,1148.58,0.98289,1168.58,0.0262,0.12812,0.3201
40.27,0.05151,0.035,821.86,1.05116,781.86,0.0289,0.06769,0.5095
106.74,0.09934,0.029,1174.46,1.09307,1074.46,0.0116,0.14411,0.7328
0.03,2e-05,0.034,1186.11,0.95185,1246.11,0.0126,0.05867,0.1078
24.31,0.02235,0.027,1127.78,1.03677,1087.78,0.0102,0.02537,1.0221
42.67,0.04334,0.024,1024.43,1.04063,984.4300000000001,0.0183,0.1061,0.1456
99.89,0.1344,0.02,843.23,1.13455,743.23,0.0216,0.06315,0.1344
49.96,0.04421,0.021,1170.1,1.0354,1130.1,0.0223,0.20387,0.0717
52.62,0.0462,0.028,1098.9,0.96488,1138.9,0.0281,0.50695,0.0986
0.45,0.00052,0.029,813.75,0.93133,873.75,0.0221,0.06659,0.3667
10.32,0.00973,0.021,1040.84,0.98115,1060.84,0.0139,0.11422,0.1592
69.06,0.05766,0.028,1117.74,0.93321,1197.74,0.0298,0.21948,1.0911
26.03,0.03282,0.024,813.06,1.02522,793.06,0.0152,0.10284,0.2104
77.05,0.1021,0.027,834.68,1.10601,754.68,0.0182,0.05439,0.3378
96.47,0.11917,0.024,889.51,1.09883,809.51,0.0179,0.14283,1.2873
22.25,0.01987,0.027,1139.57,1.01786,1119.57,0.0282,0.06573,0.0887
88.45,0.08126,0.026,1128.53,1.03675,1088.53,0.0191,0.19039,0.7193
101.56,0.11934,0.021,951.0,1.11751,851.0,0.0284,0.06639,0.3698
2.78,0.00243,0.032,1125.51,0.98254,1145.51,0.0192,0.03425,0.6211
94.73,0.09575,0.032,1029.36,1.04043,989.3599999999999,0.0231,0.18173,1.2995
13.08,0.01104,0.021,1144.27,0.96622,1184.27,0.0185,0.09416,0.4503
61.08,0.05936,0.021,1068.98,1.03887,1028.98,0.0147,0.12738,0.5991
82.5,0.08403,0.027,1061.77,1.08149,981.77,0.0244,0.05967,4.598
0.22,0.00019,0.021,1086.97,0.94769,1146.97,0.029,0.05915,0.1882
67.67,0.07018,0.028,1044.26,1.08297,964.26,0.0198,0.06506,7.3725
0.0,0.0,0.034,967.99,0.92366,1047.99,0.0275,0.02321,0.4184
100.04,0.12726,0.023,886.08,1.12721,786.08,0.0264,0.03621,0.1022
40.66,0.05048,0.029,845.51,1.04966,805.51,0.0145,0.13359,0.0849
59.42,0.05236,0.028,1194.76,1.05287,1134.76,0.0151,0.06933,1.9583
0.15,0.00017,0.022,801.7,0.93037,861.7,0.0214,0.05902,0.3195
21.68,0.02086,0.021,1039.22,1.0,1039.22,0.0209,0.09348,0.3178
8.15,0.00844,0.022,965.14,1.0,965.14,0.0279,0.06887,0.089
98.29,0.11464,0.035,957.4,1.11663,857.4,0.0206,0.03683,0.1085
58.56,0.05908,0.031,1051.15,1.06054,991.1500000000001,0.0161,0.03967,0.0868
2.19,0.00218,0.031,944.05,0.94024,1004.05,0.0271,0.19188,0.0628
119.37,0.15609,0.023,864.76,1.13076,764.76,0.0298,0.14152,1.3675
59.25,0.05631,0.02,1112.26,1.05702,1052.26,0.0101,0.06226,0.0646
59.13,0.0703,0.021,901.16,1.07133,841.16,0.0101,0.04904,0.0831
60.24,0.06993,0.023,921.4,1.06965,861.4,0.0245,0.1117,0.0906
57.01,0.05947,0.035,1018.64,1.06259,958.64,0.0117,0.07132,0.1266
0.01,1e-05,0.021,1027.45,0.92776,1107.45,0.0209,0.09971,0.0614
26.13,0.03151,0.031,849.16,1.02412,829.16,0.0137,0.11441,0.1748
21.16,0.01799,0.034,1156.31,0.983,1176.31,0.0226,0.09841,0.5276
57.73,0.07076,0.029,875.81,1.07355,815.81,0.016,0.04018,0.1846
127.6,0.13659,0.023,994.16,1.06423,934.16,0.025,0.15271,2.9608
1.58,0.00176,0.024,855.42,0.95533,895.42,0.0213,0.09928,0.1356
104.49,0.10432,0.029,1081.65,1.07987,1001.6500000000001,0.0284,0.12232,1.4698
146.85,0.17786,0.024,925.63,1.12112,825.63,0.0205,0.4157,0.3893
0.0,0.0,0.028,1019.32,0.92723,1099.3200000000002,0.0184,0.07475,0.09
20.02,0.01819,0.025,1120.81,1.01817,1100.81,0.0257,0.01107,0.0831
13.39,0.01487,0.035,860.71,0.95559,900.71,0.0175,0.11994,0.5919
0.0,0.0,0.032,1121.58,0.93342,1201.58,0.0254,0.05081,0.1066
83.26,0.08281,0.024,1105.41,1.09946,1005.4100000000001,0.0121,0.07485,4.7012
16.98,0.01624,0.032,1065.49,1.01913,1045.49,0.0142,0.02893,0.1963
0.24,0.00023,0.026,968.26,0.92368,1048.26,0.0103,0.08133,0.2322
79.1,0.08753,0.035,983.7,1.08852,903.7,0.0228,0.02411,0.065
2.55,0.00233,0.034,1035.95,0.94525,1095.95,0.023,0.1083,0.188
96.76,0.11082,0.027,973.16,1.11453,873.16,0.0278,0.04578,2.6448
36.8,0.03947,0.035,972.31,1.0429,932.31,0.027,0.01861,0.3652
9.66,0.00793,0.029,1198.11,0.98358,1218.11,0.0269,0.0896,0.1763
0.0,0.0,0.021,806.47,0.90975,886.47,0.0188,0.03448,0.0644
99.47,0.0981,0.03,1114.01,1.09862,1014.01,0.0263,0.04314,0.0782
52.88,0.06003,0.029,920.92,1.04541,880.92,0.0259,0.2631,0.0935
40.9,0.0339,0.033,1186.48,0.98342,1206.48,0.0196,0.27113,0.1589
6.27,0.00547,0.023,1066.24,0.93021,1146.24,0.0143,0.2178,0.1078
78.19,0.07621,0.033,1106.04,1.07797,1026.04,0.0123,0.06247,0.0761
0.06,6e-05,0.023,871.7,0.9356,931.7,0.0138,0.095,0.0859
60.03,0.06311,0.026,1011.25,1.06307,951.25,0.0278,0.06212,0.1241
0.39,0.0004,0.024,924.62,0.95853,964.62,0.0202,0.0608,0.1659
52.11,0.05522,0.03,923.61,0.9788,943.61,0.028,0.15916,1.1843
89.72,0.08984,0.026,1038.69,1.04005,998.69,0.0224,0.23817,0.5275
59.68,0.06004,0.027,1054.06,1.06036,994.06,0.0243,0.06018,0.5113
92.77,0.09029,0.034,1127.45,1.09733,1027.45,0.029,0.0603,1.3153
78.16,0.08986,0.026,949.79,1.09198,869.79,0.0125,0.08722,0.1359
89.4,0.08994,0.021,1034.04,1.04024,994.04,0.0246,0.25778,0.4197
20.18,0.01818,0.023,1089.96,0.98198,1109.96,0.0185,0.27763,0.0576
0.03,3e-05,0.031,1127.93,0.94949,1187.93,0.02,0.06379,0.0954
14.6,0.0121,0.025,1166.63,0.96685,1206.63,0.025,0.12985,0.2484
3.59,0.00381,0.025,923.12,0.97879,943.12,0.0149,0.07115,0.1819
6.62,0.00664,0.024,936.26,0.93977,996.26,0.0224,0.17116,0.1625
2.72,0.00227,0.029,1199.37,1.0,1199.37,0.0116,0.02039,0.2663
5.82,0.00528,0.032,1103.27,1.0,1103.27,0.0124,0.05404,0.0779
102.44,0.09427,0.022,1186.68,1.09202,1086.68,0.0251,0.02456,2.2637
36.24,0.03099,0.026,1169.4,1.0,1169.4,0.0136,0.19691,0.1673
18.6,0.01968,0.033,924.92,0.97883,944.92,0.021,0.31451,0.0559
75.49,0.07988,0.03,1025.05,1.08465,945.05,0.0161,0.08776,0.8182
0.01,1e-05,0.03,1098.7,0.94822,1158.7,0.0294,0.073,0.0584
0.26,0.00026,0.027,924.47,0.92036,1004.47,0.0278,0.04462,0.7884
76.37,0.06601,0.029,1156.87,1.0,1156.87,0.0156,0.2479,0.5034
0.87,0.00082,0.02,980.63,0.92457,1060.63,0.02,0.1558,0.088
7.6,0.00757,0.026,964.28,0.96017,1004.28,0.0177,0.05471,1.4609
97.48,0.1152,0.022,926.2,1.09454,846.2,0.0271,0.09235,1.8668
59.27,0.06803,0.024,931.25,1.06887,871.25,0.0232,0.044,0.3663
45.31,0.04132,0.035,1136.53,1.03648,1096.53,0.0132,0.113,0.2464
4.45,0.00399,0.031,1074.61,0.96411,1114.61,0.024,0.09501,0.1914
54.06,0.05468,0.022,948.74,0.95954,988.74,0.0169,0.18173,1.176
0.0,0.0,0.029,829.36,0.95399,869.36,0.0201,0.00942,0.0868
11.9,0.01304,0.029,852.62,0.93426,912.62,0.0142,0.21932,0.2013
9.88,0.00934,0.028,997.74,0.94328,1057.74,0.0257,0.13054,0.3459
71.38,0.07084,0.027,1067.65,1.05954,1007.6500000000001,0.0268,0.13551,0.3692
28.97,0.02817,0.032,1048.44,1.01945,1028.44,0.0295,0.15693,0.0713
98.04,0.09676,0.029,1113.26,1.09869,1013.26,0.015,0.04479,0.1147
65.53,0.06512,0.03,1066.35,1.05962,1006.3499999999999,0.0289,0.04795,4.3048
117.84,0.10733,0.035,1097.9,1.0,1097.9,0.0205,0.23569,1.7925
0.0,0.0,0.02,1077.74,0.94726,1137.74,0.0132,0.05268,0.0882
0.0,0.0,0.023,1187.33,0.93688,1267.33,0.0297,0.04026,0.0729
4.69,0.00381,0.028,1189.86,0.96748,1229.86,0.0181,0.08516,0.209
8.2,0.0082,0.022,919.69,0.91998,999.69,0.024,0.06102,2.1061
1.6,0.00174,0.03,860.79,0.93484,920.79,0.0279,0.17862,0.0737
0.25,0.00027,0.021,879.97,0.93617,939.97,0.0194,0.09113,0.1306
45.93,0.04232,0.03,1125.29,1.03686,1085.29,0.0285,0.12807,0.1294
0.0,0.0,0.024,857.87,0.97722,877.87,0.0178,0.02757,0.054
4.87,0.00421,0.021,1097.25,0.94815,1157.25,0.0118,0.05077,1.4935
11.12,0.01233,0.029,821.87,0.9113,901.87,0.0189,0.12426,0.9384
25.16,0.03174,0.024,812.57,1.02523,792.57,0.0152,0.05749,1.0173
0.0,0.0,0.027,821.83,0.91129,901.83,0.0211,0.04361,0.0594
0.47,0.0005,0.034,905.9,0.95771,945.9,0.0254,0.08508,0.0954
7.6,0.00646,0.02,1136.1,0.96599,1176.1,0.0201,0.10617,0.2039
18.17,0.01833,0.034,1011.41,1.02017,991.41,0.0121,0.04598,0.2114
48.23,0.04238,0.033,1158.14,1.01757,1138.14,0.0282,0.21875,0.1445
1.34,0.00123,0.029,1071.39,0.98167,1091.39,0.019,0.05277,0.1157
4.58,0.00359,0.032,1195.66,0.93729,1275.66,0.0216,0.13761,0.1811
20.78,0.02453,0.023,867.14,1.02361,847.14,0.0278,0.06593,0.0662
32.32,0.03404,0.034,969.54,1.02106,949.54,0.0164,0.16548,0.1244
81.81,0.06915,0.025,1183.07,1.0,1183.07,0.0153,0.12838,2.8571
38.54,0.03401,0.028,1173.36,1.03529,1133.36,0.0117,0.06157,0.0902
25.49,0.02665,0.027,956.64,1.0,956.64,0.0248,0.07378,0.9246
83.11,0.07993,0.032,1059.79,1.01923,1039.79,0.0285,0.17075,1.1972
0.0,0.0,0.029,902.48,0.91857,982.48,0.0163,0.05057,0.0821
42.25,0.04493,0.033,980.29,1.04254,940.29,0.0182,0.08113,0.5846
15.51,0.01443,0.024,1074.83,1.0,1074.83,0.0261,0.09766,0.1354
0.0,0.0,0.033,1055.97,0.92958,1135.97,0.0232,0.01598,0.0616
56.47,0.06936,0.027,874.2,1.07369,814.2,0.021,0.05356,0.7628
62.4,0.06302,0.023,950.17,0.9596,990.17,0.0193,0.11552,4.4274
99.77,0.10296,0.027,1069.01,1.1032,969.01,0.0284,0.01868,0.1729
58.32,0.0669,0.031,931.7,1.06883,871.7,0.022,0.05524,0.1752
39.06,0.03647,0.032,1111.16,1.03734,1071.16,0.0161,0.0732,0.0619
0.0,0.0,0.024,863.42,0.93502,923.42,0.028,0.02852,0.2886
41.0,0.04722,0.023,908.24,1.04607,868.24,0.0213,0.05801,0.4308
5.2,0.00461,0.027,1067.16,0.94677,1127.16,0.0276,0.22726,0.0596
0.13,0.00011,0.032,1196.59,0.98356,1216.59,0.0293,0.01774,0.2734
9.18,0.00992,0.023,865.8,0.93519,925.8,0.0112,0.07267,1.9888
6.85,0.00593,0.035,1114.54,0.96535,1154.54,0.017,0.05252,1.7986
9.1,0.00843,0.026,1059.16,0.98147,1079.16,0.0215,0.07518,0.3119
22.56,0.02062,0.03,1114.24,1.01828,1094.24,0.01,0.09831,0.0625
18.06,0.0181,0.029,998.04,1.0,998.04,0.0297,0.04641,0.9742
62.66,0.05429,0.024,1194.14,1.03466,1154.14,0.0295,0.04349,2.4053
85.44,0.10913,0.028,862.95,1.10218,782.95,0.0212,0.09236,4.7349
0.67,0.00061,0.026,1051.22,0.96334,1091.22,0.0172,0.05316,0.2228
80.11,0.1082,0.021,800.42,1.08104,740.42,0.0298,0.15592,0.7416
0.03,3e-05,0.023,836.64,0.93308,896.64,0.0177,0.04796,0.3171
78.76,0.10553,0.033,826.3,1.1072,746.3,0.0261,0.02315,0.1594
23.0,0.01995,0.032,1113.0,0.96531,1153.0,0.0188,0.15861,0.3428
38.76,0.04075,0.034,991.2,1.04205,951.2,0.0134,0.02673,0.0591
38.99,0.03786,0.022,1069.73,1.03885,1029.73,0.0165,0.04691,0.2534
30.15,0.03674,0.028,840.58,1.02437,820.58,0.0164,0.16378,0.1283
6.18,0.00621,0.034,995.25,1.0,995.25,0.013,0.03747,0.5662
76.56,0.07405,0.024,1113.95,1.07737,1033.95,0.0163,0.01509,0.3506
88.22,0.09161,0.034,1062.98,1.10384,962.98,0.0209,0.0665,0.9083
95.58,0.09852,0.03,1070.16,1.10308,970.1600000000001,0.0218,0.05598,0.4112
7.46,0.00636,0.026,1173.19,1.0,1173.19,0.0221,0.01875,1.549
0.02,2e-05,0.026,978.39,0.92441,1058.3899999999999,0.0102,0.06249,0.2195
7.5,0.00646,0.02,1101.4,0.94834,1161.4,0.0184,0.1548,0.1595
99.6,0.10383,0.026,1059.24,1.10425,959.24,0.0267,0.0739,0.2179
0.12,0.00012,0.026,920.1,0.93878,980.1,0.0197,0.03979,0.5626
37.32,0.0366,0.028,1059.56,1.03923,1019.56,0.0104,0.04621,0.149
38.2,0.03954,0.034,1006.12,1.0414,966.12,0.0293,0.04015,0.5284
0.0,0.0,0.03,1158.5,0.95076,1218.5,0.0121,0.03365,0.0886
54.98,0.05022,0.033,1154.88,1.0548,1094.88,0.0113,0.0599,0.2155
0.41,0.00039,0.021,960.58,0.92312,1040.58,0.0219,0.12877,0.1025
79.63,0.09486,0.028,919.44,1.0953,839.44,0.0266,0.08099,0.1095
86.1,0.09104,0.022,1025.7,1.08459,945.7,0.0173,0.255,0.1015
20.61,0.01877,0.029,1078.14,0.98179,1098.14,0.0297,0.10893,0.3937
0.23,0.0002,0.022,1079.93,0.93103,1159.93,0.0226,0.11651,0.0839
0.0,0.0,0.02,816.58,0.91077,896.58,0.027,0.10313,0.0622
37.3,0.03674,0.023,995.34,0.9803,1015.34,0.0174,0.20472,0.338
5.06,0.00627,0.032,807.05,1.0,807.05,0.0245,0.02739,0.5911
9.22,0.00726,0.022,1190.48,0.93703,1270.48,0.0266,0.24518,0.0885
91.8,0.09999,0.031,1018.12,1.10892,918.12,0.0283,0.01324,1.5186
0.91,0.00109,0.032,818.53,0.97615,838.53,0.0284,0.02332,0.8895
106.87,0.12238,0.021,973.29,1.11451,873.29,0.0292,0.13614,0.4601
0.33,0.00027,0.028,1181.33,0.96725,1221.33,0.013,0.06199,0.0968
5.47,0.00594,0.023,860.46,0.93482,920.46,0.019,0.16312,0.1851
0.07,7e-05,0.025,887.52,0.91731,967.52,0.0197,0.1174,0.0904
0.0,0.0,0.034,874.77,0.95627,914.77,0.0145,0.0285,0.0548
23.29,0.02872,0.027,831.04,1.02466,811.04,0.0261,0.09481,0.1152
0.36,0.0003,0.028,1153.68,0.95056,1213.68,0.0258,0.03628,0.5712
72.98,0.06748,0.035,1161.5,1.07397,1081.5,0.0146,0.02039,0.2843
58.31,0.05412,0.03,1137.48,1.05569,1077.48,0.0204,0.06501,0.1579
0.31,0.00026,0.035,1130.45,0.93391,1210.45,0.0213,0.04326,0.7856
62.64,0.05935,0.035,1115.51,1.05684,1055.51,0.0179,0.18376,0.0782
52.9,0.05861,0.029,902.55,1.0,902.55,0.016,0.1751,0.8763
104.48,0.09686,0.026,1158.69,1.07416,1078.69,0.0137,0.26637,0.2464
0.47,0.00037,0.033,1177.73,0.93639,1257.73,0.0117,0.07699,0.2277
8.99,0.00938,0.034,898.66,0.93741,958.66,0.0264,0.09226,0.8781
59.41,0.07361,0.021,867.06,1.07434,807.06,0.0215,0.03497,0.7993
3.72,0.00398,0.029,874.14,0.93577,934.14,0.0235,0.13529,0.2036
1.13,0.00105,0.033,1014.89,0.94418,1074.8899999999999,0.0257,0.13836,0.0765
41.8,0.04178,0.023,1040.48,1.03998,1000.48,0.0276,0.11906,0.0686
66.15,0.06076,0.034,1168.7,1.07348,1088.7,0.0107,0.04143,0.5086
0.0,0.0,0.034,839.91,0.93333,899.91,0.029,0.04216,0.1972
4.92,0.00416,0.024,1121.96,0.94924,1181.96,0.0185,0.11738,0.2008
10.15,0.01056,0.026,941.46,0.9792,961.46,0.016,0.07109,0.5811
79.71,0.10974,0.034,806.33,1.11014,726.33,0.0206,0.12292,0.9192
53.14,0.06324,0.029,880.31,1.0476,840.31,0.0252,0.13579,0.4342
32.06,0.02814,0.023,1159.25,1.01756,1139.25,0.0228,0.1858,0.0584
34.49,0.03449,0.03,1019.91,1.02,999.91,0.0233,0.07494,0.8278
