C,C/K,D,S,S/K,k,r,sigma,t
97.72,0.13785,0.032,808.9,1.14106,708.9,0.0195,0.14372,0.3917
101.07,0.11079,0.029,1012.28,1.10962,912.28,0.0256,0.24527,0.071
99.48,0.10225,0.021,1072.9,1.10279,972.9000000000001,0.0201,0.03399,0.174
99.04,0.10527,0.034,1040.84,1.10629,940.8399999999999,0.011,0.19265,0.1188
98.64,0.13726,0.025,818.65,1.13915,718.65,0.0185,0.06105,0.1904
58.24,0.0669,0.027,930.58,1.06892,870.58,0.0206,0.03758,0.2459
15.85,0.01653,0.027,958.68,1.0,958.68,0.0115,0.09283,0.249
0.0,0.0,0.029,869.95,0.91579,949.95,0.0175,0.09582,0.0841
0.0,0.0,0.029,829.11,0.912,909.11,0.0132,0.05887,0.0888
89.45,0.08423,0.021,1082.01,1.01883,1062.01,0.0202,0.21865,0.7488
1.14,0.00096,0.033,1193.52,1.0,1193.52,0.0231,0.01261,0.0591
100.48,0.11493,0.024,974.25,1.11438,874.25,0.0247,0.15702,0.1436
1.64,0.00145,0.025,1108.22,0.98227,1128.22,0.0294,0.01991,0.6454
14.23,0.01256,0.024,1113.17,0.98235,1133.17,0.0288,0.10278,0.2377
5.39,0.00546,0.021,906.75,0.91893,986.75,0.0102,0.1421,0.3261
18.3,0.01989,0.024,899.91,0.97826,919.91,0.0128,0.12323,0.4199
39.13,0.04608,0.029,889.13,1.04711,849.13,0.0212,0.0234,0.1117
0.0,0.0,0.022,819.6,0.95347,859.6,0.0196,0.03071,0.088
0.0,0.0,0.021,1170.57,0.95124,1230.57,0.0143,0.02308,0.256
0.0,0.0,0.027,1017.33,0.96217,1057.33,0.0135,0.03045,0.08
8.56,0.00893,0.032,958.39,1.0,958.39,0.0222,0.03436,0.9287
43.92,0.05569,0.026,828.7,1.05072,788.7,0.0281,0.16237,0.1037
39.22,0.04593,0.029,893.92,1.04684,853.92,0.023,0.04675,0.1274
83.03,0.08184,0.035,1094.52,1.07886,1014.52,0.0153,0.12812,0.6382
99.71,0.11319,0.029,980.93,1.11352,880.93,0.0268,0.07997,0.0598
101.02,0.14011,0.022,820.98,1.1387,720.98,0.019,0.14158,0.4534
98.62,0.11332,0.028,970.25,1.11491,870.25,0.0264,0.03707,0.3301
3.92,0.00445,0.032,821.79,0.93196,881.79,0.0223,0.07128,1.012
2.05,0.00224,0.031,914.36,1.0,914.36,0.0151,0.02304,0.1092
154.22,0.15316,0.025,1106.9,1.09931,1006.9000000000001,0.0141,0.25828,0.9713
151.01,0.13972,0.023,1140.78,1.05552,1080.78,0.018,0.16439,3.9344
30.9,0.02967,0.028,1041.5,1.0,1041.5,0.0103,0.15423,0.2739
98.44,0.12662,0.021,877.44,1.12863,777.44,0.0138,0.08561,0.2051
85.14,0.09095,0.027,1016.1,1.08546,936.1,0.025,0.06206,9.679
0.0,0.0,0.03,1116.05,0.94898,1176.05,0.0154,0.01136,0.0571
59.95,0.08031,0.021,806.49,1.08038,746.49,0.0171,0.13405,0.0883
13.71,0.01497,0.034,815.84,0.89081,915.84,0.0245,0.24403,0.3395
11.66,0.01084,0.034,1015.15,0.94419,1075.15,0.0189,0.13462,0.401
9.68,0.00805,0.031,1161.95,0.96672,1201.95,0.02,0.0586,1.1594
0.08,7e-05,0.028,1035.89,0.92831,1115.89,0.019,0.10353,0.0887
19.03,0.01686,0.032,1028.8,0.91141,1128.8,0.0261,0.08548,2.9535
4.67,0.0055,0.024,849.42,1.0,849.42,0.0181,0.05474,0.0682
39.62,0.04771,0.031,870.4,1.04817,830.4,0.015,0.11627,0.0528
1.41,0.00117,0.027,1161.12,0.9667,1201.12,0.0154,0.03999,0.5531
0.0,0.0,0.02,809.5,0.89005,909.5,0.0269,0.0489,0.1598
24.06,0.02508,0.029,959.37,1.0,959.37,0.018,0.07418,1.1453
0.0,0.0,0.025,973.69,0.92408,1053.69,0.0102,0.03573,0.1308
2.48,0.00203,0.022,1180.61,0.96723,1220.61,0.0146,0.04563,0.5128
0.01,1e-05,0.035,830.31,0.89251,930.31,0.0242,0.05948,0.3825
0.38,0.00033,0.028,1056.56,0.91354,1156.56,0.0126,0.14032,0.1037
81.29,0.09622,0.02,924.8,1.0947,844.8,0.0107,0.22646,0.0795
39.36,0.04115,0.025,976.41,1.02091,956.41,0.0289,0.07777,0.8199
52.51,0.05788,0.034,807.23,0.88977,907.23,0.0224,0.31111,0.8698
35.89,0.03714,0.026,986.26,1.0207,966.26,0.0243,0.13353,0.2328
7.39,0.00721,0.025,1025.05,1.0,1025.05,0.0135,0.0373,0.3964
0.0,0.0,0.028,1117.37,0.91786,1217.37,0.026,0.04885,0.1636
0.0,0.0,0.032,1050.81,0.92925,1130.81,0.0287,0.04138,0.0991
14.41,0.01633,0.034,882.64,1.0,882.64,0.0238,0.10188,0.1817
13.44,0.01127,0.029,1132.86,0.9497,1192.86,0.017,0.09475,0.8095
33.27,0.02884,0.032,1173.79,1.01733,1153.79,0.0295,0.09352,0.2725
132.23,0.12258,0.023,1178.72,1.0927,1078.72,0.0285,0.26259,0.3611
1.87,0.00169,0.028,1048.82,0.94589,1108.82,0.0206,0.08156,0.2739
99.55,0.09961,0.02,1099.41,1.10006,999.4100000000001,0.0213,0.0338,0.6373
86.3,0.09558,0.029,982.95,1.0886,902.95,0.0185,0.17264,0.3113
98.86,0.13868,0.021,812.84,1.14028,712.84,0.0176,0.10905,0.315
0.03,3e-05,0.034,1006.17,0.98051,1026.17,0.0141,0.02518,0.1447
0.0,0.0,0.02,995.4,0.96137,1035.4,0.029,0.02789,0.0808
98.82,0.11067,0.025,992.96,1.11199,892.96,0.0203,0.06614,0.1774
83.89,0.11489,0.032,810.15,1.10957,730.15,0.0202,0.15609,0.5635
0.86,0.00096,0.034,875.0,0.97765,895.0,0.0219,0.08058,0.0542
44.74,0.0472,0.025,987.95,1.0422,947.95,0.0233,0.05981,0.8148
0.14,0.00012,0.031,1079.74,0.93102,1159.74,0.0189,0.09817,0.1067
0.04,4e-05,0.033,932.04,0.92095,1012.04,0.0259,0.07688,0.1742
67.31,0.08602,0.026,842.47,1.07668,782.47,0.0285,0.16828,0.256
16.84,0.01917,0.032,878.32,1.0,878.32,0.0262,0.15236,0.1033
9.89,0.00943,0.025,989.1,0.94281,1049.1,0.0289,0.16052,0.2248
18.86,0.02296,0.028,841.4,1.02435,821.4,0.014,0.0304,0.0963
19.41,0.02022,0.035,960.03,1.0,960.03,0.0296,0.0776,0.499
99.38,0.10747,0.029,1024.75,1.10814,924.75,0.0235,0.09453,0.078
0.21,0.00018,0.035,1136.46,0.966,1176.46,0.0167,0.05863,0.1017
18.84,0.0241,0.026,801.73,1.02558,781.73,0.0129,0.02938,0.1096
19.67,0.01931,0.033,1038.78,1.01963,1018.78,0.0271,0.0392,0.0698
1.07,0.00102,0.033,949.67,0.90473,1049.67,0.0276,0.22423,0.0693
98.44,0.11584,0.035,949.77,1.11768,849.77,0.0168,0.17088,0.1568
99.32,0.09999,0.023,1093.34,1.10067,993.3399999999999,0.0162,0.02926,0.0753
61.35,0.0819,0.024,809.12,1.08009,749.12,0.0277,0.08595,0.3293
19.25,0.01934,0.031,1015.47,1.02009,995.47,0.01,0.05484,0.1073
99.09,0.10042,0.022,1086.71,1.10135,986.71,0.0171,0.08585,0.1308
14.75,0.01674,0.032,881.31,1.0,881.31,0.0253,0.06485,0.5214
1.14,0.00102,0.032,1060.44,0.94645,1120.44,0.0158,0.12141,0.0942
35.38,0.03455,0.021,924.08,0.90235,1024.08,0.0264,0.19646,0.9497
0.01,1e-05,0.02,842.24,0.95466,882.24,0.0209,0.04121,0.1571
83.51,0.084,0.023,1074.12,1.08047,994.1199999999999,0.027,0.16439,0.143
99.59,0.12981,0.025,867.2,1.13034,767.2,0.0218,0.03703,0.0829
59.79,0.07408,0.031,807.07,1.0,807.07,0.0261,0.15928,1.6576
39.73,0.04276,0.021,969.13,1.04305,929.13,0.0158,0.0726,0.0989
2.89,0.0032,0.022,861.92,0.95565,901.92,0.0186,0.08063,0.2971
78.29,0.10358,0.034,835.87,1.10584,755.87,0.0148,0.09326,0.0995
6.02,0.00555,0.032,1065.06,0.98157,1085.06,0.0256,0.11927,0.0745
0.0,0.0,0.034,1146.92,0.9663,1186.92,0.0272,0.01689,0.4478
1.79,0.00168,0.031,963.66,0.90598,1063.6599999999999,0.0237,0.20411,0.1013
69.04,0.06384,0.025,1101.47,1.01849,1081.47,0.024,0.32002,0.179
19.32,0.01976,0.034,997.96,1.02045,977.96,0.0281,0.03154,0.1557
41.57,0.0329,0.032,1163.67,0.92087,1263.67,0.0228,0.09133,7.7573
4.29,0.00462,0.021,869.1,0.93542,929.1,0.0175,0.16621,0.1475
22.95,0.02244,0.035,1022.67,1.0,1022.67,0.0278,0.12436,0.2224
0.0,0.0,0.03,913.84,0.93839,973.84,0.0267,0.02749,0.5693
6.26,0.00737,0.031,849.08,1.0,849.08,0.0201,0.04636,0.2125
5.72,0.0047,0.034,1158.06,0.95074,1218.06,0.0102,0.14722,0.1409
9.14,0.01026,0.031,890.55,1.0,890.55,0.0268,0.09831,0.0707
12.47,0.01274,0.032,978.8,1.0,978.8,0.0126,0.09677,0.1318
0.0,0.0,0.034,906.42,0.90064,1006.42,0.0294,0.06998,0.0936
5.67,0.00455,0.028,1187.45,0.9519,1247.45,0.0239,0.16351,0.1006
14.51,0.01747,0.028,810.6,0.97592,830.6,0.016,0.21986,0.1075
6.74,0.00675,0.035,998.69,1.0,998.69,0.0267,0.05664,0.101
12.89,0.01176,0.02,1096.0,1.0,1096.0,0.0235,0.09365,0.0967
13.7,0.01309,0.035,966.51,0.92356,1046.51,0.0282,0.20911,0.261
38.34,0.0323,0.022,1167.0,0.98315,1187.0,0.0264,0.27407,0.1363
0.29,0.00027,0.03,1065.25,0.98157,1085.25,0.0163,0.04803,0.0629
100.23,0.09718,0.023,1131.43,1.09695,1031.43,0.027,0.03527,0.1253
0.0,0.0,0.021,954.22,0.92265,1034.22,0.0251,0.06187,0.1466
0.18,0.00019,0.033,896.88,0.95731,936.88,0.0222,0.0714,0.0991
0.04,5e-05,0.031,827.97,0.97641,847.97,0.018,0.03615,0.0924
19.3,0.02241,0.031,881.29,1.02322,861.29,0.0265,0.02963,0.4687
1.32,0.00159,0.032,810.67,0.97592,830.67,0.023,0.03883,0.4133
16.37,0.01458,0.027,1062.89,0.94657,1122.89,0.0179,0.25627,0.1268
59.12,0.05894,0.02,1063.11,1.05981,1003.1099999999999,0.0144,0.07099,0.21
16.99,0.0183,0.033,888.5,0.95692,928.5,0.0245,0.18648,0.2542
0.14,0.00011,0.032,1141.7,0.93452,1221.7,0.0205,0.06334,0.2379
25.19,0.02496,0.023,1029.38,1.01981,1009.3800000000001,0.0177,0.08034,0.1757
99.32,0.13166,0.029,854.34,1.13257,754.34,0.0238,0.07958,0.0995
22.51,0.01958,0.034,1109.55,0.9652,1149.55,0.0267,0.14442,0.3936
2.75,0.00225,0.023,1159.73,0.95081,1219.73,0.0109,0.06154,0.5545
18.92,0.01732,0.026,1092.5,1.0,1092.5,0.0204,0.09135,0.2467
0.0,0.0,0.032,1168.08,0.92114,1268.08,0.0146,0.03808,0.1091
22.29,0.01921,0.031,1160.62,1.0,1160.62,0.023,0.06973,0.6214
0.43,0.00034,0.028,1195.8,0.93729,1275.8,0.0187,0.06972,0.2462
0.06,6e-05,0.027,1034.63,0.98104,1054.63,0.0208,0.03919,0.0543
0.0,0.0,0.034,1166.88,0.9511,1226.88,0.0244,0.04678,0.059
18.21,0.01906,0.033,975.16,1.02094,955.16,0.02,0.02997,0.1599
59.6,0.06369,0.031,995.78,1.06412,935.78,0.0155,0.10582,0.2745
0.34,0.00035,0.02,895.8,0.91802,975.8,0.0105,0.02852,4.6388
13.71,0.01322,0.027,1037.09,1.0,1037.09,0.0213,0.04603,0.6997
20.46,0.02507,0.025,836.16,1.0245,816.16,0.0169,0.05056,0.2598
18.8,0.01776,0.034,1078.43,1.0189,1058.43,0.0117,0.04872,0.09
88.01,0.09807,0.027,817.39,0.91085,897.39,0.0199,0.3224,1.4207
64.28,0.05847,0.031,1139.45,1.03638,1099.45,0.0113,0.25605,0.1458
0.0,0.0,0.027,1040.63,0.91233,1140.63,0.013,0.03274,0.0546
0.05,4e-05,0.033,1063.32,0.94659,1123.32,0.0233,0.03552,0.4453
11.6,0.01224,0.034,948.01,1.0,948.01,0.0171,0.07962,0.1899
37.0,0.03425,0.026,1120.43,1.03702,1080.43,0.0106,0.05473,0.3836
0.01,1e-05,0.03,858.68,0.89569,958.68,0.0151,0.02713,3.1294
0.0,0.0,0.021,808.88,0.88997,908.88,0.0211,0.0189,1.053
59.07,0.05333,0.032,1167.61,1.05417,1107.61,0.022,0.02676,0.0717
93.53,0.10256,0.024,971.92,1.0658,911.92,0.0293,0.1589,0.9425
31.78,0.03258,0.032,955.53,0.9795,975.53,0.0237,0.31582,0.1166
33.47,0.03002,0.029,1134.81,1.01794,1114.81,0.0136,0.12193,0.1999
59.88,0.06465,0.026,986.25,1.06478,926.25,0.0243,0.10802,0.055
40.97,0.04061,0.027,908.93,0.90089,1008.93,0.0268,0.30012,0.5137
0.23,0.00026,0.033,848.51,0.95498,888.51,0.0239,0.03954,0.4303
4.69,0.00455,0.028,931.05,0.90301,1031.05,0.0128,0.11066,0.6856
9.62,0.00804,0.024,1136.69,0.94986,1196.69,0.0137,0.05417,2.5265
0.0,0.0,0.021,1009.84,0.9099,1109.8400000000001,0.0177,0.03068,0.7842
28.35,0.03585,0.032,830.83,1.05058,790.83,0.0129,0.03814,0.9159
49.71,0.06127,0.032,851.31,1.0493,811.31,0.0183,0.146,0.3491
149.04,0.13333,0.028,1197.83,1.07157,1117.83,0.0133,0.31458,0.6045
27.42,0.03273,0.022,857.87,1.02387,837.87,0.0284,0.07801,0.2941
20.17,0.01857,0.034,1106.02,1.01842,1086.02,0.0267,0.04573,0.121
80.4,0.07902,0.024,1097.46,1.07863,1017.46,0.0278,0.03916,0.2076
99.75,0.11184,0.028,991.89,1.11212,891.89,0.0281,0.03283,0.0927
39.47,0.05009,0.027,828.03,1.05076,788.03,0.027,0.02345,0.4977
0.01,1e-05,0.025,879.38,0.91661,959.38,0.0197,0.09615,0.0935
35.79,0.043,0.03,892.41,1.07208,832.41,0.0159,0.04473,3.3911
40.65,0.04551,0.024,893.13,1.0,893.13,0.0196,0.15901,0.5561
43.24,0.04615,0.027,997.03,1.06403,937.03,0.0146,0.01128,1.2993
23.07,0.01972,0.021,1170.11,1.0,1170.11,0.02,0.14221,0.1221
82.21,0.08519,0.029,1024.99,1.06218,964.99,0.023,0.39177,0.0907
79.06,0.10797,0.028,812.24,1.10925,732.24,0.0177,0.06185,0.0962
0.0,0.0,0.03,831.57,0.91224,911.57,0.0242,0.06608,0.1871
72.32,0.0686,0.035,1134.27,1.07588,1054.27,0.0217,0.0253,0.4624
27.03,0.02915,0.027,947.32,1.02157,927.32,0.0237,0.12655,0.1045
0.1,8e-05,0.028,1166.1,0.95106,1226.1,0.0169,0.03577,0.44
2.84,0.00246,0.033,1095.99,0.9481,1155.99,0.0249,0.06382,0.5529
0.0,0.0,0.022,1057.95,0.94633,1117.95,0.027,0.06283,0.0671
36.52,0.03332,0.032,1136.15,1.03649,1096.15,0.0126,0.04224,0.164
0.38,0.00037,0.022,961.89,0.94129,1021.89,0.0194,0.02711,1.6038
42.65,0.03487,0.02,1143.18,0.9346,1223.18,0.0132,0.1893,0.7835
76.38,0.08048,0.024,1029.02,1.0843,949.02,0.0101,0.06913,0.2502
67.85,0.05961,0.023,1198.27,1.05271,1138.27,0.0258,0.21218,0.0812
39.28,0.03917,0.029,1042.75,1.03989,1002.75,0.0231,0.05192,0.1146
0.07,8e-05,0.025,851.54,0.95513,891.54,0.0232,0.02946,0.4844
115.85,0.10649,0.027,1127.93,1.03677,1087.93,0.0287,0.24719,0.7791
0.34,0.00037,0.032,880.93,0.95657,920.93,0.0278,0.01723,3.5103
8.82,0.00862,0.026,983.57,0.96092,1023.57,0.0129,0.13932,0.1923
62.7,0.05681,0.022,1163.72,1.05436,1103.72,0.0273,0.10466,0.1516
25.97,0.02331,0.029,1093.94,0.98205,1113.94,0.0121,0.13377,0.4297
16.09,0.01471,0.026,1093.67,1.0,1093.67,0.0286,0.096,0.1449
41.0,0.03686,0.02,1152.33,1.03596,1112.33,0.0279,0.07987,0.0701
31.4,0.03248,0.021,986.77,1.02069,966.77,0.025,0.07436,0.4271
67.18,0.0828,0.027,831.37,1.02465,811.37,0.0136,0.18772,1.1123
0.01,1e-05,0.029,998.51,0.96148,1038.51,0.0108,0.04091,0.1331
5.66,0.00624,0.033,847.4,0.93388,907.4,0.0203,0.06171,2.1864
4.59,0.00452,0.034,954.72,0.94087,1014.72,0.0136,0.09884,0.4336
1.11,0.00116,0.023,873.91,0.91613,953.91,0.0106,0.06498,0.8359
166.24,0.14758,0.022,1186.46,1.05326,1126.46,0.0263,0.10658,9.2453
72.34,0.09153,0.029,870.36,1.10122,790.36,0.021,0.03771,0.9118
75.43,0.08039,0.029,998.3,1.06395,938.3,0.0138,0.15951,0.5539
3.02,0.0025,0.029,1106.05,0.91708,1206.05,0.0295,0.09075,0.5003
59.16,0.05213,0.02,1194.86,1.05287,1134.86,0.0117,0.02138,0.0788
16.83,0.01755,0.022,958.73,1.0,958.73,0.0196,0.09986,0.2013
39.65,0.04062,0.027,1016.04,1.04098,976.04,0.0221,0.04551,0.0594
59.12,0.07709,0.033,826.89,1.07824,766.89,0.0182,0.11263,0.0695
1.06,0.00085,0.025,1167.03,0.93585,1247.03,0.026,0.09201,0.1949
0.0,0.0,0.031,1164.74,0.92093,1264.74,0.0172,0.06184,0.1158
79.59,0.08498,0.028,1016.6,1.08542,936.6,0.0273,0.01768,0.1417
0.42,0.00041,0.028,918.56,0.90182,1018.56,0.0199,0.03736,2.6975
79.63,0.08191,0.025,1052.21,1.08229,972.21,0.0237,0.06586,0.1144
99.66,0.10723,0.026,1029.44,1.10759,929.44,0.0254,0.05788,0.1076
0.15,0.00017,0.027,855.86,0.95535,895.86,0.02,0.08683,0.0672
99.54,0.11758,0.024,946.59,1.11812,846.59,0.0191,0.11872,0.0702
87.24,0.10612,0.026,822.08,1.0,822.08,0.0219,0.28854,0.9255
79.93,0.08863,0.028,981.87,1.0887,901.87,0.0296,0.0759,0.0919
21.62,0.02545,0.022,869.6,1.02354,849.6,0.0269,0.03764,0.2457
5.14,0.00566,0.032,867.8,0.95594,907.8,0.019,0.09454,0.3549
0.0,0.0,0.034,1126.1,0.91844,1226.1,0.0221,0.04832,0.217
3.95,0.00406,0.02,913.78,0.93838,973.78,0.018,0.0711,0.7111
43.18,0.04776,0.034,964.18,1.06636,904.18,0.0212,0.06343,6.5341
45.95,0.04266,0.028,1017.13,0.9443,1077.13,0.0235,0.21629,0.6746
41.42,0.04114,0.033,1046.79,1.03973,1006.79,0.0265,0.12991,0.0624
10.08,0.00891,0.032,1131.31,1.0,1131.31,0.0109,0.0846,0.0842
58.62,0.06434,0.034,971.03,1.06586,911.03,0.0168,0.09588,0.0847
61.26,0.05958,0.024,1088.12,1.05836,1028.12,0.0276,0.09997,0.1331
0.09,9e-05,0.024,951.92,0.95967,991.92,0.0207,0.0732,0.0662
60.56,0.08,0.033,816.97,1.07926,756.97,0.0264,0.09357,0.5989
60.32,0.05331,0.03,1191.6,1.05302,1131.6,0.0136,0.12626,0.1011
97.42,0.12946,0.022,852.49,1.13289,752.49,0.011,0.02536,0.247
109.27,0.12438,0.023,978.54,1.11383,878.54,0.0171,0.11173,2.0559
70.01,0.05861,0.021,1174.6,0.98326,1194.6,0.0236,0.17969,0.8839
98.44,0.1296,0.022,859.59,1.13165,759.59,0.0128,0.07332,0.17
59.6,0.07414,0.028,863.91,1.07464,803.91,0.0241,0.0974,0.1022
77.54,0.09692,0.033,880.08,1.09999,800.08,0.0216,0.0502,0.21
84.33,0.07607,0.023,1188.64,1.07216,1108.64,0.0134,0.10588,0.6108
3.65,0.00371,0.022,942.89,0.9593,982.89,0.0112,0.0899,0.2476
64.71,0.05515,0.023,1173.25,1.0,1173.25,0.0237,0.1944,0.5156
0.8,0.00074,0.033,979.84,0.90739,1079.8400000000001,0.0179,0.11855,0.2201
102.99,0.1171,0.021,979.47,1.1137,879.47,0.0175,0.30595,0.0716
3.73,0.00321,0.022,1140.56,0.98277,1160.56,0.0236,0.07911,0.0902
24.71,0.02189,0.03,1108.83,0.98228,1128.83,0.0112,0.18181,0.1919
0.09,8e-05,0.026,1046.43,0.92898,1126.43,0.0264,0.03371,0.8163
194.03,0.20062,0.03,947.17,0.97932,967.17,0.0276,0.2271,15.0223
0.31,0.0003,0.03,970.43,0.92384,1050.4299999999998,0.025,0.12807,0.0944
2.48,0.00263,0.027,903.31,0.9576,943.31,0.0107,0.06646,0.4342
4.42,0.00534,0.029,808.37,0.97586,828.37,0.0222,0.08015,0.2188
10.46,0.0089,0.031,1175.08,1.0,1175.08,0.014,0.06829,0.1358
2.38,0.00266,0.023,875.97,0.97768,895.97,0.0233,0.02098,1.5071
38.8,0.04702,0.029,865.17,1.04847,825.17,0.0193,0.04251,0.1317
63.27,0.05756,0.035,1159.15,1.05459,1099.15,0.011,0.22335,0.0533
22.99,0.02709,0.031,868.72,1.02356,848.72,0.0221,0.0446,3.9527
38.23,0.04714,0.034,811.02,1.0,811.02,0.0147,0.23621,0.2837
0.0,0.0,0.023,804.01,0.9095,884.01,0.0135,0.05596,0.1608
78.26,0.08859,0.029,963.36,1.09056,883.36,0.0276,0.02598,0.4934
0.0,0.0,0.024,994.34,0.92554,1074.3400000000001,0.0271,0.0622,0.1316
58.84,0.05507,0.025,1128.39,1.05616,1068.39,0.0184,0.03914,0.136
17.83,0.01992,0.031,895.21,1.0,895.21,0.0164,0.12852,0.1715
70.84,0.08677,0.034,896.39,1.09799,816.39,0.0172,0.08135,0.8807
0.0,0.0,0.025,801.13,0.88903,901.13,0.0166,0.04512,0.2081
11.4,0.0108,0.022,1055.97,1.0,1055.97,0.0156,0.09035,0.0951
58.93,0.07427,0.025,813.46,1.02521,793.46,0.0263,0.11086,2.0016
20.73,0.02093,0.027,990.67,1.0,990.67,0.0286,0.0722,0.5219
27.78,0.0248,0.02,1140.1,1.01786,1120.1,0.0203,0.06069,0.3394
79.35,0.09286,0.023,934.55,1.09362,854.55,0.0169,0.05144,0.0924
11.74,0.01035,0.025,1133.88,1.0,1133.88,0.0136,0.10233,0.0695
100.06,0.11238,0.025,990.35,1.11232,890.35,0.023,0.16398,0.1143
0.18,0.00017,0.021,1029.99,0.96262,1069.99,0.0222,0.02586,0.5385
40.29,0.04982,0.028,848.73,1.04946,808.73,0.0195,0.10554,0.1096
1.97,0.00197,0.035,961.63,0.96007,1001.63,0.0119,0.11181,0.1034
12.72,0.01444,0.027,880.63,1.0,880.63,0.0278,0.04086,0.7853
0.0,0.0,0.024,856.87,0.93456,916.87,0.0129,0.06419,0.0789
3.82,0.00341,0.032,1061.28,0.94649,1121.28,0.0165,0.08062,0.4648
178.71,0.17128,0.02,963.39,0.92333,1043.3899999999999,0.0228,0.42658,1.7205
0.0,0.0,0.025,1034.15,0.94516,1094.15,0.0217,0.01806,1.0105
42.29,0.03832,0.024,1143.51,1.03625,1103.51,0.0238,0.08541,0.1424
78.37,0.07431,0.032,1134.63,1.07586,1054.63,0.0248,0.04363,0.1613
0.0,0.0,0.029,1090.26,0.93164,1170.26,0.0238,0.04248,0.067
125.96,0.13421,0.027,1038.5,1.10655,938.5,0.025,0.41143,0.1602
5.09,0.00431,0.02,1179.83,1.0,1179.83,0.015,0.04406,0.065
4.93,0.00446,0.024,1085.03,0.9819,1105.03,0.0241,0.08033,0.1264
25.17,0.02192,0.025,1168.2,1.01742,1148.2,0.0168,0.08085,0.1398
21.19,0.0248,0.032,814.43,0.95319,854.43,0.0163,0.34446,0.1128
1.51,0.00146,0.033,1013.67,0.98065,1033.67,0.0132,0.03461,0.5549
39.76,0.03725,0.027,1067.34,1.0,1067.34,0.0195,0.33519,0.0792
100.75,0.13822,0.021,828.89,1.13719,728.89,0.0145,0.24637,0.1064
7.92,0.00785,0.025,988.39,0.98017,1008.39,0.0264,0.08209,0.2366
0.02,2e-05,0.029,980.52,0.94234,1040.52,0.0192,0.07438,0.0872
31.5,0.03826,0.021,803.41,0.97571,823.41,0.0183,0.29053,0.1896
107.28,0.09475,0.024,1072.19,0.94701,1132.19,0.016,0.38025,0.7013
134.7,0.14029,0.022,1060.12,1.10415,960.1199999999999,0.0198,0.3718,0.2552
2.5,0.00224,0.02,1057.32,0.9463,1117.32,0.0175,0.1407,0.1008
10.53,0.01194,0.028,802.05,0.9093,882.05,0.0195,0.14706,0.6353
8.51,0.00879,0.028,968.15,1.0,968.15,0.0143,0.07049,0.1161
96.84,0.10308,0.031,1039.47,1.10644,939.47,0.0222,0.01915,0.2797
0.04,3e-05,0.025,1166.06,0.96683,1206.06,0.0119,0.04944,0.0831
10.19,0.01036,0.026,963.9,0.97967,983.9,0.0219,0.11481,0.1778
4.39,0.00478,0.026,899.16,0.97824,919.16,0.0284,0.05541,0.3337
2.87,0.00278,0.025,993.09,0.96128,1033.0900000000001,0.026,0.07456,0.2523
0.48,0.00047,0.023,992.88,0.98025,1012.88,0.0145,0.02976,0.2593
98.73,0.09348,0.028,1156.21,1.09468,1056.21,0.0216,0.0994,0.1475
0.02,2e-05,0.032,1129.05,0.98259,1149.05,0.0152,0.02066,0.1561
80.4,0.09855,0.022,895.84,1.09806,815.84,0.0273,0.04942,0.1549
84.99,0.08229,0.028,1112.82,1.07746,1032.82,0.0264,0.11195,0.4443
0.12,0.00013,0.032,870.53,0.93552,930.53,0.0128,0.07939,0.1537
78.55,0.07653,0.024,1106.43,1.07794,1026.43,0.0225,0.0436,0.4359
6.33,0.00608,0.034,1040.88,1.0,1040.88,0.0112,0.05148,0.1347
8.17,0.00969,0.03,843.51,1.0,843.51,0.0285,0.06557,0.1412
39.82,0.04006,0.031,1034.03,1.04024,994.03,0.0253,0.07923,0.0789
29.5,0.03437,0.025,878.27,1.0233,858.27,0.0276,0.12663,0.161
0.0,0.0,0.026,812.62,0.89043,912.62,0.0296,0.08321,0.086
0.0,0.0,0.027,1101.65,0.9323,1181.65,0.0175,0.0641,0.0972
0.18,0.00017,0.035,969.36,0.92376,1049.3600000000001,0.0236,0.07533,0.2449
40.6,0.04422,0.024,958.1,1.04357,918.1,0.0237,0.07307,0.1515
94.79,0.09723,0.03,1034.91,1.06154,974.9100000000001,0.0265,0.25913,0.3572
45.18,0.03991,0.027,1152.06,1.01767,1132.06,0.0105,0.13309,0.4175
149.55,0.15065,0.032,1032.68,1.04029,992.6800000000001,0.0298,0.31856,1.1143
47.08,0.06037,0.032,819.85,1.05129,779.85,0.021,0.08568,1.6169
49.24,0.06559,0.025,850.71,1.13321,750.71,0.0106,0.03704,4.8667
0.0,0.0,0.027,1034.75,0.94519,1094.75,0.0176,0.01867,0.1862
5.3,0.00532,0.022,936.64,0.9398,996.64,0.0132,0.12121,0.2891
3.33,0.00293,0.033,1116.45,0.9824,1136.45,0.0257,0.08222,0.0827
100.21,0.10454,0.025,1058.56,1.10432,958.56,0.0295,0.03268,0.1183
26.54,0.02219,0.022,1176.0,0.98328,1196.0,0.0188,0.18563,0.1682
1.32,0.00125,0.034,953.73,0.9051,1053.73,0.0291,0.06527,0.9529
0.08,8e-05,0.021,930.33,0.92082,1010.33,0.0126,0.10228,0.1107
42.57,0.04654,0.021,954.66,1.04373,914.66,0.0261,0.10811,0.1195
18.79,0.01657,0.023,1034.08,0.91182,1134.08,0.0265,0.24409,0.2698
78.07,0.10704,0.021,809.37,1.10968,729.37,0.0122,0.07084,0.2413
