C,C/K,D,S,S/K,k,r,sigma,t
0.07,7e-05,0.035,1050.18,1.10524,950.1800000000001,0.0185,0.06938,0.2939
14.94,0.0217,0.039,828.42,1.20336,688.42,0.0131,0.22578,0.7163
28.69,0.02533,0.035,1132.57,1.0,1132.57,0.0102,0.03818,0.8004
25.27,0.02299,0.026,1159.1,1.05459,1099.1,0.0147,0.14065,0.5599
20.88,0.02491,0.02,878.35,1.04771,838.35,0.0189,0.19745,0.3091
7.34,0.00847,0.04,1006.61,1.16155,866.61,0.0241,0.2189,0.3332
0.01,1e-05,0.029,873.84,1.15918,753.84,0.0286,0.0608,0.621
96.19,0.09203,0.022,965.25,0.92346,1045.25,0.0207,0.11628,1.0101
30.16,0.03571,0.035,924.66,1.09471,844.66,0.0259,0.20621,0.7031
0.0,0.0,0.023,1087.58,1.14774,947.5799999999999,0.0196,0.12505,0.0881
9.63,0.00921,0.02,1125.07,1.07655,1045.07,0.0276,0.22054,0.1496
128.13,0.11019,0.034,1082.85,0.9312,1162.85,0.0218,0.19945,0.754
146.6,0.12851,0.028,1000.77,0.87728,1140.77,0.0145,0.03749,0.5829
141.04,0.10529,0.034,1199.51,0.89548,1339.51,0.0277,0.07293,0.2793
0.0,0.0,0.037,892.09,1.18615,752.09,0.0121,0.04797,0.5194
126.04,0.12828,0.026,862.54,0.87787,982.54,0.0237,0.11661,1.0256
17.28,0.01923,0.034,1018.8,1.13351,898.8,0.029,0.1773,0.7433
61.37,0.0718,0.037,834.7,0.9766,854.7,0.0154,0.16333,0.6582
55.18,0.05079,0.031,1166.43,1.07364,1086.43,0.0299,0.23283,0.7523
61.46,0.05743,0.021,1010.21,0.94394,1070.21,0.0112,0.0636,0.1508
47.71,0.04774,0.03,1059.4,1.06004,999.4000000000001,0.0254,0.21858,0.6735
0.3,0.00044,0.036,825.3,1.20429,685.3,0.0246,0.08849,0.8287
103.03,0.09547,0.036,979.24,0.90734,1079.24,0.0122,0.21872,0.0769
46.62,0.05034,0.02,886.05,0.95681,926.05,0.0281,0.14681,0.1773
9.71,0.01169,0.04,890.59,1.07224,830.59,0.0159,0.17323,0.2454
133.41,0.10502,0.039,1170.28,0.92128,1270.28,0.0288,0.16942,0.703
97.01,0.08285,0.028,1110.91,0.94876,1170.91,0.0179,0.22286,0.3555
23.55,0.02375,0.033,1091.53,1.10085,991.53,0.0212,0.1987,0.5179
28.16,0.03408,0.034,826.23,1.0,826.23,0.013,0.09579,0.5512
104.98,0.08443,0.023,1143.38,0.91957,1243.38,0.0102,0.11988,0.2269
0.38,0.00051,0.035,845.54,1.13413,745.54,0.0101,0.09043,0.4079
12.38,0.01185,0.04,1064.58,1.01915,1044.58,0.0213,0.03951,0.7906
1.15,0.00102,0.026,1192.1,1.053,1132.1,0.0259,0.07004,0.2399
78.1,0.08023,0.024,933.49,0.95891,973.49,0.0138,0.15868,0.7491
55.16,0.05425,0.029,976.82,0.96066,1016.82,0.0196,0.0863,0.6254
13.53,0.01222,0.027,1147.18,1.03613,1107.18,0.0156,0.13488,0.2193
166.54,0.1379,0.032,1067.65,0.88407,1207.65,0.0157,0.16149,0.7929
22.02,0.02467,0.033,1032.47,1.15687,892.47,0.0188,0.18512,0.9245
55.41,0.06411,0.036,864.3,1.0,864.3,0.0107,0.19639,0.5447
41.6,0.04441,0.021,936.69,1.0,936.69,0.0273,0.12424,0.9546
169.63,0.14084,0.038,1064.39,0.88376,1204.39,0.0228,0.1839,0.7673
15.85,0.0184,0.038,961.28,1.11611,861.28,0.0124,0.14232,0.7891
75.54,0.0669,0.022,1069.12,0.94686,1129.12,0.0296,0.13883,0.4983
2.36,0.0031,0.036,841.99,1.10499,761.99,0.0151,0.07274,0.7892
45.75,0.03918,0.032,1127.54,0.96574,1167.54,0.016,0.08334,0.1719
144.53,0.14592,0.032,850.49,0.85866,990.49,0.0162,0.05275,0.41
78.07,0.07783,0.023,963.08,0.96012,1003.08,0.0222,0.19621,0.5407
4.91,0.00602,0.029,875.79,1.07355,815.79,0.023,0.15775,0.1963
5.25,0.00543,0.027,1007.5,1.04134,967.5,0.0261,0.07655,0.3912
160.57,0.14572,0.04,961.94,0.87295,1101.94,0.0256,0.15181,0.9167
133.89,0.14205,0.039,822.56,0.87269,942.56,0.0164,0.06642,0.8514
156.35,0.1266,0.028,1155.04,0.93522,1235.04,0.0123,0.2346,0.8678
152.68,0.15835,0.037,844.22,0.87555,964.22,0.0164,0.18693,0.9626
92.72,0.07966,0.036,1083.88,0.93126,1163.88,0.0298,0.14494,0.3717
64.1,0.06126,0.034,1026.35,0.98089,1046.35,0.025,0.12446,0.9518
63.04,0.05872,0.028,1053.56,0.98137,1073.56,0.0233,0.14013,0.7517
5.0,0.00518,0.031,1065.82,1.10354,965.8199999999999,0.027,0.08059,1.035
24.89,0.02813,0.035,884.74,1.0,884.74,0.0248,0.13114,0.266
23.4,0.02279,0.037,1026.94,1.0,1026.94,0.0188,0.06921,0.4557
81.66,0.09101,0.032,897.24,1.0,897.24,0.0187,0.22603,0.9314
60.17,0.04894,0.029,1169.35,0.95119,1229.35,0.0252,0.08046,0.0514
47.93,0.04286,0.021,1178.41,1.05365,1118.41,0.019,0.18434,0.7736
109.1,0.10163,0.04,973.49,0.90685,1073.49,0.0274,0.10582,0.5826
10.07,0.00982,0.035,1105.85,1.07798,1025.85,0.0108,0.22264,0.1458
1.02,0.00135,0.034,857.45,1.13202,757.45,0.0157,0.06239,1.0367
81.79,0.07755,0.037,994.63,0.94311,1054.63,0.0125,0.23484,0.1922
18.2,0.01789,0.04,1017.23,1.0,1017.23,0.0189,0.13855,0.0939
5.8,0.00502,0.021,1196.44,1.03459,1156.44,0.0187,0.05843,0.4979
38.47,0.03402,0.029,1130.75,1.0,1130.75,0.0265,0.09373,0.8163
25.98,0.0256,0.029,1154.97,1.13794,1014.97,0.0109,0.21396,0.6263
26.23,0.02351,0.026,1115.75,1.0,1115.75,0.0248,0.21062,0.0783
59.72,0.05697,0.04,1008.18,0.96184,1048.1799999999998,0.0166,0.20535,0.1595
24.56,0.02459,0.023,1038.81,1.04005,998.81,0.0197,0.09939,1.0216
115.6,0.09823,0.029,1076.8,0.91502,1176.8,0.0103,0.03601,0.8298
25.55,0.03141,0.032,953.55,1.17209,813.55,0.0213,0.21798,0.9353
43.95,0.03879,0.024,1172.98,1.03531,1132.98,0.0233,0.15959,0.725
3.11,0.00349,0.034,1031.5,1.15704,891.5,0.0187,0.15408,0.3981
51.58,0.04938,0.039,1144.5,1.09574,1044.5,0.0268,0.23059,0.8149
5.52,0.00664,0.033,871.84,1.04809,831.84,0.0286,0.07214,0.5866
9.11,0.00974,0.035,955.76,1.02137,935.76,0.0152,0.05941,0.418
0.01,1e-05,0.027,826.83,1.10712,746.83,0.0205,0.04634,0.526
0.22,0.0003,0.022,822.82,1.13835,722.82,0.0279,0.12279,0.2329
23.49,0.02046,0.028,1187.91,1.03485,1147.91,0.0293,0.23114,0.142
55.85,0.06429,0.033,828.7,0.95395,868.7,0.023,0.1035,0.6603
54.62,0.05569,0.03,960.77,0.97961,980.77,0.0261,0.15283,0.5418
122.02,0.11881,0.03,906.98,0.88315,1026.98,0.0187,0.0986,0.2459
100.03,0.07749,0.032,1190.85,0.92253,1290.85,0.0299,0.11026,0.0822
67.8,0.07136,0.04,930.07,0.97895,950.07,0.0199,0.16968,0.6524
79.42,0.07817,0.021,975.95,0.96063,1015.95,0.0153,0.15413,0.8212
0.0,0.0,0.021,804.6,1.11041,724.6,0.0267,0.09041,0.1221
125.93,0.11183,0.025,1006.04,0.89343,1126.04,0.0276,0.12493,0.8588
15.08,0.01415,0.026,1125.42,1.05632,1065.42,0.0281,0.15647,0.3112
108.22,0.11459,0.034,844.39,0.89411,944.39,0.0169,0.06971,0.6377
25.67,0.02566,0.025,1020.48,1.01999,1000.48,0.018,0.08668,0.8715
43.83,0.04137,0.025,1179.5,1.11326,1059.5,0.0161,0.19904,1.0109
48.78,0.04318,0.03,1089.63,0.96459,1129.63,0.0231,0.12874,0.1583
143.99,0.14405,0.035,879.59,0.87995,999.59,0.0147,0.12771,1.0499
61.98,0.07365,0.039,801.5,0.95247,841.5,0.0122,0.09135,0.7421
149.05,0.11998,0.04,1102.27,0.8873,1242.27,0.0161,0.05333,0.3801
60.45,0.0546,0.039,1167.21,1.05419,1107.21,0.0147,0.17372,0.9703
63.59,0.05654,0.036,1104.69,0.98222,1124.69,0.0177,0.12171,0.7081
8.28,0.00779,0.033,1122.31,1.05648,1062.31,0.0215,0.08265,0.5631
145.1,0.15302,0.024,808.25,0.85236,948.25,0.011,0.14481,0.4246
120.44,0.12992,0.029,827.05,0.89213,927.05,0.0175,0.1653,0.8002
46.9,0.04195,0.026,1078.01,0.96422,1118.01,0.0147,0.05026,0.4391
32.53,0.03551,0.039,915.97,1.0,915.97,0.0249,0.12238,0.4504
8.63,0.01163,0.031,822.22,1.10778,742.22,0.0161,0.20189,0.2947
96.76,0.09256,0.037,965.39,0.92347,1045.3899999999999,0.0153,0.05356,0.8476
0.01,1e-05,0.038,1068.38,1.1508,928.3800000000001,0.0144,0.14821,0.0901
20.0,0.02554,0.038,923.21,1.17875,783.21,0.0179,0.20092,0.8983
135.5,0.13119,0.037,912.87,0.88382,1032.87,0.023,0.13226,0.8266
110.06,0.09808,0.032,1062.19,0.94653,1122.19,0.0186,0.20036,0.6755
5.71,0.00588,0.036,1110.33,1.14428,970.3299999999999,0.0106,0.15739,0.4214
69.1,0.07383,0.038,875.94,0.93589,935.94,0.0236,0.12241,0.3392
68.69,0.06167,0.027,1093.78,0.98204,1113.78,0.0248,0.14878,0.7987
143.47,0.12762,0.029,984.22,0.87547,1124.22,0.0148,0.10757,0.2801
50.0,0.05087,0.037,982.96,1.0,982.96,0.0184,0.2187,0.3079
10.95,0.00991,0.022,1164.63,1.05432,1104.63,0.0244,0.17924,0.1626
17.24,0.01805,0.031,1095.29,1.14655,955.29,0.0166,0.22052,0.4858
2.81,0.00271,0.027,1157.84,1.11562,1037.84,0.0262,0.1156,0.4338
89.85,0.09527,0.036,923.12,0.97879,943.12,0.0176,0.23409,0.7282
0.71,0.00089,0.038,913.67,1.1512,793.67,0.0296,0.10305,0.4984
151.48,0.12261,0.025,1095.46,0.88668,1235.46,0.0108,0.10105,0.6613
6.62,0.00683,0.04,1029.0,1.06192,969.0,0.0187,0.10779,0.3291
168.5,0.1333,0.029,1144.08,0.90507,1264.08,0.0153,0.18642,0.9686
6.57,0.00757,0.035,1008.27,1.16124,868.27,0.0165,0.15303,0.6016
22.72,0.02118,0.038,1132.53,1.05594,1072.53,0.0276,0.17661,0.3455
15.1,0.01549,0.024,974.7,1.0,974.7,0.0119,0.1167,0.1024
80.18,0.08721,0.039,879.38,0.95649,919.38,0.0133,0.12782,0.9463
1.59,0.00175,0.039,1010.6,1.10982,910.6,0.021,0.09625,0.4248
23.64,0.02451,0.039,944.42,0.97926,964.42,0.0275,0.09473,0.0771
24.2,0.02315,0.025,1185.44,1.13391,1045.44,0.0244,0.1936,0.7525
113.12,0.10576,0.023,969.63,0.90651,1069.63,0.0207,0.15157,0.6008
140.57,0.11671,0.02,1104.44,0.91697,1204.44,0.0281,0.21525,0.824
18.39,0.02173,0.026,926.27,1.09453,846.27,0.0131,0.1261,1.0175
95.61,0.09563,0.027,959.81,0.95999,999.81,0.0143,0.21831,0.6768
68.94,0.06463,0.025,1066.64,1.0,1066.64,0.0248,0.1834,0.8124
151.94,0.13682,0.032,970.53,0.87393,1110.53,0.0123,0.16479,0.4231
0.9,0.00088,0.026,1139.41,1.11772,1019.4100000000001,0.013,0.11485,0.27
37.04,0.03199,0.024,1157.73,1.0,1157.73,0.0178,0.07905,0.8903
11.4,0.01196,0.029,972.79,1.02099,952.79,0.0187,0.07421,0.4157
118.72,0.09723,0.035,1121.02,0.9181,1221.02,0.0155,0.08991,0.7352
108.54,0.09655,0.022,1024.23,0.91105,1124.23,0.0207,0.1857,0.2626
104.43,0.10252,0.031,918.63,0.90183,1018.63,0.0178,0.05721,0.4315
37.32,0.03552,0.028,1110.68,1.05711,1050.68,0.0291,0.15124,0.9775
9.62,0.00877,0.035,1156.64,1.05471,1096.64,0.0194,0.0995,0.4127
94.72,0.10003,0.031,866.88,0.91551,946.88,0.0231,0.14281,0.6294
41.46,0.03864,0.027,1032.96,0.96272,1072.96,0.0182,0.10477,0.0646
5.07,0.00474,0.032,1148.51,1.07487,1068.51,0.0211,0.05876,1.0237
57.97,0.0527,0.034,1120.0,1.01818,1100.0,0.0248,0.15964,0.8457
1.3,0.00131,0.026,1135.5,1.14063,995.5,0.0197,0.16694,0.2004
154.16,0.13746,0.03,981.53,0.87517,1121.53,0.0118,0.10656,0.7476
139.12,0.12506,0.021,972.43,0.87415,1112.4299999999998,0.023,0.12474,0.2034
65.72,0.06348,0.026,1035.3,1.0,1035.3,0.0247,0.17165,0.8849
4.97,0.00479,0.031,1078.5,1.03852,1038.5,0.0197,0.0528,0.5585
6.87,0.00829,0.031,928.36,1.12072,828.36,0.0261,0.14997,0.498
184.5,0.14014,0.038,1196.54,0.90885,1316.54,0.017,0.2136,0.9015
65.98,0.05909,0.031,1156.56,1.03582,1116.56,0.0208,0.19586,0.8478
16.68,0.02045,0.023,815.63,1.0,815.63,0.0195,0.11142,0.2062
0.09,0.00011,0.04,892.77,1.07205,832.77,0.0123,0.07672,0.1379
15.56,0.0167,0.035,1071.54,1.15029,931.54,0.0224,0.14941,0.9872
3.24,0.00329,0.031,1086.14,1.10141,986.1400000000001,0.0196,0.16559,0.1876
61.85,0.06863,0.024,941.23,1.04438,901.23,0.0279,0.23043,0.9738
6.83,0.00636,0.03,1174.37,1.09308,1074.37,0.0161,0.0957,0.6616
1.67,0.00174,0.022,1098.78,1.14602,958.78,0.0216,0.14884,0.3024
1.91,0.00185,0.037,1113.16,1.07743,1033.16,0.0153,0.16257,0.0983
0.19,0.00022,0.037,978.09,1.11388,878.09,0.0189,0.12196,0.1487
69.98,0.06115,0.029,1084.39,0.94757,1144.39,0.0188,0.12025,0.2809
64.45,0.06057,0.029,1144.0,1.07519,1064.0,0.0195,0.23149,0.911
1.21,0.00125,0.021,1067.2,1.10339,967.2,0.0276,0.13459,0.198
1.03,0.00127,0.021,888.11,1.099,808.11,0.0295,0.09785,0.366
0.82,0.00096,0.033,976.42,1.14012,856.42,0.0244,0.07087,0.9157
4.77,0.00609,0.026,903.23,1.15321,783.23,0.0266,0.20958,0.2952
139.63,0.11551,0.02,1068.84,0.88419,1208.84,0.021,0.10799,0.429
138.11,0.11952,0.021,1015.54,0.87884,1155.54,0.0269,0.12392,0.2345
114.56,0.1066,0.022,954.63,0.88833,1074.63,0.0267,0.06744,0.8101
94.64,0.09104,0.035,979.5,0.94228,1039.5,0.0191,0.20823,0.4455
0.0,0.0,0.024,1112.04,1.14403,972.04,0.0266,0.04776,0.1553
157.45,0.1406,0.025,979.88,0.87499,1119.88,0.0234,0.19206,0.703
4.05,0.00552,0.027,833.35,1.13636,733.35,0.0156,0.11281,0.7518
4.56,0.00558,0.039,916.93,1.12241,816.93,0.0277,0.11784,0.6097
45.87,0.04932,0.033,949.98,1.02151,929.98,0.0235,0.14435,0.9486
6.12,0.00668,0.023,976.38,1.06548,916.38,0.0233,0.14499,0.2221
47.57,0.04318,0.027,1081.59,0.98184,1101.59,0.025,0.16279,0.2681
145.08,0.1519,0.032,815.08,0.85342,955.08,0.0165,0.15261,0.3727
19.45,0.02001,0.023,971.97,1.0,971.97,0.019,0.17867,0.0779
145.37,0.12533,0.028,1019.86,0.8793,1159.8600000000001,0.0229,0.092,1.037
1.62,0.00238,0.03,819.64,1.20599,679.64,0.0269,0.16637,0.4482
1.9,0.00265,0.024,857.84,1.19503,717.84,0.0168,0.20881,0.2723
1.85,0.00182,0.029,1098.7,1.07853,1018.7,0.0227,0.13121,0.1565
59.83,0.05213,0.022,1107.63,0.96515,1147.63,0.0105,0.07461,0.7551
104.46,0.08755,0.031,1093.18,0.91619,1193.18,0.0224,0.10268,0.3459
102.54,0.09816,0.025,1004.63,0.96171,1044.63,0.0139,0.18993,0.9683
32.81,0.03304,0.028,973.03,0.97986,993.03,0.025,0.0596,0.7661
58.79,0.07007,0.032,818.97,0.97616,838.97,0.0271,0.19748,0.5373
128.3,0.1215,0.024,955.94,0.9053,1055.94,0.0203,0.22356,0.5569
54.54,0.05806,0.022,939.42,1.0,939.42,0.0274,0.21648,0.4844
66.74,0.06925,0.021,923.72,0.95849,963.72,0.0205,0.12249,0.953
4.65,0.00528,0.031,960.2,1.09089,880.2,0.0279,0.14486,0.2829
23.64,0.02845,0.036,970.94,1.16848,830.94,0.0282,0.19866,1.0307
63.61,0.0583,0.035,1071.05,0.98167,1091.05,0.0183,0.22254,0.2782
110.19,0.09606,0.031,1047.15,0.91283,1147.15,0.0263,0.09511,0.9774
104.41,0.11117,0.037,839.22,0.89353,939.22,0.0153,0.05092,0.2662
129.05,0.13876,0.036,810.05,0.87097,930.05,0.0179,0.10584,0.645
12.89,0.01597,0.037,866.91,1.07436,806.91,0.0206,0.18331,0.3061
54.67,0.049,0.033,1095.78,0.98208,1115.78,0.0252,0.15406,0.3929
110.35,0.10151,0.027,1027.13,0.94481,1087.13,0.0106,0.19956,0.6931
0.4,0.00057,0.023,824.27,1.17039,704.27,0.0184,0.0782,0.9001
183.47,0.16348,0.032,982.26,0.87525,1122.26,0.0202,0.22854,0.9493
127.64,0.1009,0.023,1185.04,0.93676,1265.04,0.0189,0.16625,0.9923
55.62,0.04844,0.021,1088.27,0.94775,1148.27,0.0284,0.045,0.5942
46.67,0.04936,0.037,925.53,0.97885,945.53,0.0257,0.07928,1.0431
40.66,0.03977,0.036,1062.43,1.03912,1022.4300000000001,0.0273,0.22624,0.3755
13.79,0.01704,0.024,849.16,1.04943,809.16,0.0245,0.10997,0.6788
3.44,0.00338,0.022,1158.21,1.1375,1018.21,0.03,0.15964,0.3341
56.44,0.05899,0.039,916.78,0.95819,956.78,0.022,0.14512,0.2934
163.85,0.13837,0.036,1044.18,0.88177,1184.18,0.0216,0.13633,1.0245
3.32,0.00426,0.035,919.74,1.17955,779.74,0.0192,0.12906,0.7217
11.64,0.01092,0.035,1065.7,1.0,1065.7,0.0225,0.08701,0.0894
115.06,0.12652,0.025,809.41,0.89004,909.41,0.0224,0.17879,0.6911
53.16,0.04619,0.038,1151.0,1.0,1151.0,0.0245,0.09975,1.0299
0.03,4e-05,0.023,858.07,1.19497,718.07,0.0156,0.05906,1.029
25.95,0.02743,0.036,1065.91,1.12686,945.9100000000001,0.0271,0.21876,0.6232
67.35,0.07093,0.036,929.59,0.97894,949.59,0.0219,0.15068,0.8465
68.76,0.07014,0.031,980.39,1.0,980.39,0.0296,0.21942,0.6613
74.99,0.07062,0.034,1001.82,0.94349,1061.8200000000002,0.0288,0.19399,0.2172
48.63,0.04883,0.027,1055.82,1.06025,995.8199999999999,0.0238,0.19289,0.9021
0.37,0.00047,0.028,867.1,1.10164,787.1,0.0206,0.06898,0.4775
155.41,0.1206,0.026,1188.61,0.9224,1288.61,0.0108,0.17379,1.0077
13.03,0.01438,0.022,966.29,1.0662,906.29,0.0215,0.22656,0.1735
43.56,0.05159,0.035,844.4,1.0,844.4,0.0218,0.1977,0.3948
22.82,0.02897,0.034,807.84,1.02539,787.84,0.0234,0.10181,0.825
109.33,0.08903,0.036,1167.99,0.95114,1227.99,0.0197,0.1589,0.7901
45.15,0.04694,0.029,941.9,0.97921,961.9,0.0287,0.11238,0.6736
96.83,0.10014,0.021,886.93,0.91726,966.93,0.0277,0.20096,0.4571
1.88,0.00228,0.03,923.88,1.12138,823.88,0.0206,0.17733,0.1785
0.0,0.0,0.024,1178.14,1.13486,1038.14,0.0211,0.14774,0.0567
51.7,0.05108,0.022,1012.23,1.0,1012.23,0.0171,0.23161,0.3007
12.35,0.01092,0.021,1151.11,1.01768,1131.11,0.0237,0.09802,0.2251
7.2,0.00918,0.028,864.4,1.10199,784.4,0.0156,0.09912,0.8822
0.59,0.00055,0.023,1193.0,1.11184,1073.0,0.0223,0.07673,0.499
79.01,0.07898,0.02,940.39,0.94002,1000.39,0.0109,0.12217,0.655
149.75,0.11915,0.038,1116.77,0.8886,1256.77,0.0165,0.16047,0.2922
69.63,0.07051,0.026,947.51,0.95949,987.51,0.0106,0.09609,1.0043
17.21,0.02093,0.032,902.35,1.09728,822.35,0.0246,0.19239,0.4853
13.87,0.01293,0.02,1192.89,1.11185,1072.89,0.0282,0.13302,0.8905
24.62,0.02586,0.038,1031.88,1.08404,951.8800000000001,0.0205,0.15452,0.7266
139.45,0.11372,0.028,1126.21,0.91845,1226.21,0.0269,0.18878,0.8729
86.92,0.08966,0.022,889.46,0.91748,969.46,0.0262,0.17168,0.2998
36.86,0.03911,0.037,1002.59,1.06365,942.59,0.0117,0.16871,0.7341
56.08,0.04932,0.03,1136.98,1.0,1136.98,0.0299,0.13907,0.8303
3.1,0.0028,0.03,1147.33,1.03612,1107.33,0.0272,0.04722,0.5141
102.64,0.09327,0.027,1000.5,0.90913,1100.5,0.0128,0.0892,0.1981
43.28,0.04471,0.029,968.0,1.0,968.0,0.0255,0.11844,0.8777
109.6,0.09506,0.038,1052.95,0.91327,1152.95,0.0227,0.07216,0.6339
178.89,0.146,0.028,1085.31,0.88574,1225.31,0.0273,0.21653,0.9622
2.0,0.00273,0.025,872.24,1.19119,732.24,0.0128,0.1067,0.944
75.07,0.08836,0.038,809.58,0.95292,849.58,0.0116,0.201,0.4859
140.27,0.10848,0.024,1152.99,0.89172,1292.99,0.0298,0.15075,0.2716
3.24,0.00486,0.023,806.98,1.2099,666.98,0.0284,0.16023,0.7074
3.25,0.00358,0.023,986.61,1.08824,906.61,0.022,0.10459,0.4187
2.89,0.00278,0.031,1181.27,1.13445,1041.27,0.0106,0.12891,0.3962
101.56,0.08007,0.026,1168.32,0.92116,1268.32,0.0296,0.12109,0.2669
10.89,0.01444,0.023,854.14,1.1326,754.14,0.0125,0.14248,0.8548
3.23,0.00412,0.028,883.61,1.12761,783.61,0.0161,0.1337,0.4313
0.35,0.00038,0.024,1001.16,1.08685,921.16,0.0204,0.04418,0.8473
118.13,0.10382,0.037,1037.81,0.91211,1137.81,0.0208,0.21818,0.2804
4.23,0.00414,0.038,1120.59,1.09798,1020.5899999999999,0.0262,0.07896,0.8011
7.4,0.00711,0.033,1101.14,1.05763,1041.14,0.0213,0.06299,0.8512
27.39,0.02833,0.028,966.77,1.0,966.77,0.0292,0.10521,0.478
0.55,0.0005,0.024,1172.71,1.07321,1092.71,0.0187,0.04048,0.8126
1.52,0.00195,0.035,817.68,1.05144,777.68,0.0242,0.08836,0.1883
140.29,0.12928,0.02,945.15,0.87099,1085.15,0.0224,0.15286,0.3134
138.29,0.11618,0.021,1050.32,0.88238,1190.32,0.0215,0.04777,0.4864
163.78,0.12826,0.023,1136.89,0.89036,1276.89,0.0124,0.14026,0.9027
40.87,0.04244,0.035,943.04,0.97923,963.04,0.0258,0.1948,0.155
49.12,0.05169,0.035,950.29,1.0,950.29,0.0179,0.15752,0.5705
46.0,0.04962,0.036,927.02,1.0,927.02,0.0131,0.1567,0.5017
0.59,0.00064,0.037,1038.38,1.13066,918.3800000000001,0.0133,0.10099,0.3468
89.45,0.07546,0.037,1105.35,0.93251,1185.35,0.0182,0.1949,0.1372
35.67,0.03206,0.031,1112.63,1.0,1112.63,0.0207,0.07855,0.8179
87.94,0.07207,0.027,1140.18,0.93444,1220.18,0.0128,0.06407,0.4663
159.97,0.13973,0.027,1024.87,0.89518,1144.87,0.0133,0.19516,0.8811
110.32,0.09718,0.037,1035.16,0.91191,1135.16,0.0217,0.15667,0.3064
134.56,0.10691,0.028,1138.63,0.90466,1258.63,0.0215,0.17751,0.3933
41.64,0.04639,0.021,857.67,0.95544,897.67,0.0249,0.05734,0.8014
138.16,0.10546,0.031,1190.04,0.9084,1310.04,0.0267,0.16231,0.5481
133.82,0.11104,0.038,1085.15,0.90043,1205.15,0.0199,0.07289,0.7685
0.05,5e-05,0.031,1130.17,1.05607,1070.17,0.0236,0.09048,0.0567
119.06,0.09321,0.024,1157.31,0.90605,1277.31,0.0238,0.05185,0.3614
123.5,0.10243,0.02,1145.68,0.95024,1205.68,0.0188,0.22693,0.7425
139.97,0.11028,0.027,1129.19,0.88969,1269.19,0.0243,0.08539,0.2685
64.37,0.07014,0.036,957.75,1.04358,917.75,0.0165,0.2171,0.9043
24.99,0.02569,0.029,992.85,1.02056,972.85,0.0282,0.23331,0.1392
48.41,0.04184,0.03,1196.97,1.03457,1156.97,0.0275,0.22022,0.4155
126.34,0.12438,0.022,895.72,0.88186,1015.72,0.0154,0.09414,0.9166
0.0,0.0,0.038,935.98,1.11962,835.98,0.0109,0.05075,0.0851
1.44,0.00211,0.04,803.14,1.17566,683.14,0.0255,0.12091,0.5976
98.93,0.0904,0.026,994.38,0.90862,1094.38,0.0295,0.08979,0.5397
54.38,0.05192,0.022,1147.3,1.09548,1047.3,0.0276,0.22612,1.0282
6.17,0.00776,0.04,815.58,1.02514,795.58,0.0125,0.03743,0.595
28.73,0.03326,0.032,903.79,1.04631,863.79,0.0274,0.14046,0.8427
140.33,0.12691,0.031,965.74,0.87339,1105.74,0.0239,0.13208,0.0936
3.31,0.00399,0.031,889.27,1.07235,829.27,0.0105,0.08199,0.4585
24.99,0.0256,0.036,996.32,1.02049,976.32,0.0181,0.1622,0.2565
78.55,0.07796,0.026,947.55,0.94045,1007.55,0.0162,0.16126,0.3927
12.37,0.01477,0.025,837.46,1.0,837.46,0.0208,0.07741,0.217
18.64,0.01888,0.035,1007.45,1.02025,987.45,0.0235,0.19273,0.1239
88.51,0.07509,0.023,1098.76,0.93213,1178.76,0.0245,0.13232,0.3747
54.49,0.05652,0.029,1004.13,1.04149,964.13,0.0259,0.18451,1.0188
12.24,0.01611,0.038,879.63,1.15797,759.63,0.026,0.17467,0.7659
59.55,0.05236,0.035,1197.23,1.05276,1137.23,0.0238,0.17506,1.0292
132.28,0.13806,0.034,858.16,0.89563,958.16,0.013,0.20557,0.697
0.21,0.0002,0.03,1159.63,1.11543,1039.63,0.0175,0.047,0.8738
78.51,0.06362,0.039,1193.98,0.96758,1233.98,0.0274,0.11867,0.7887
0.01,1e-05,0.037,827.97,1.10696,747.97,0.0295,0.03699,0.7826
93.92,0.08004,0.04,1133.35,0.96591,1173.35,0.0104,0.15588,0.6722
3.34,0.00313,0.023,1146.81,1.07499,1066.81,0.0289,0.0891,0.4555
124.21,0.09612,0.03,1192.19,0.92261,1292.19,0.0238,0.18497,0.436
25.43,0.03224,0.025,808.77,1.02536,788.77,0.0211,0.13886,0.594
136.33,0.12504,0.021,950.28,0.87159,1090.28,0.0252,0.06182,0.4941
98.07,0.07784,0.028,1179.89,0.9365,1259.89,0.0124,0.15595,0.3151
21.81,0.029,0.027,831.96,1.10639,751.96,0.0172,0.19837,0.6664
0.01,1e-05,0.022,945.52,1.11827,845.52,0.0299,0.04148,0.8583
4.42,0.00572,0.023,892.09,1.15542,772.09,0.0255,0.17467,0.4233
0.51,0.00068,0.022,831.26,1.10649,751.26,0.0248,0.13705,0.1567
98.39,0.0816,0.036,1125.73,0.93365,1205.73,0.0277,0.14365,0.4686
50.08,0.04507,0.03,1171.16,1.054,1111.16,0.0269,0.18073,0.8658
157.66,0.15698,0.025,884.35,0.88052,1004.35,0.0107,0.20972,0.9388
51.44,0.05891,0.039,953.13,1.09162,873.13,0.0259,0.23043,0.9787
6.89,0.0065,0.028,1120.56,1.05657,1060.56,0.0202,0.11181,0.2918
1.25,0.00175,0.036,815.16,1.13983,715.16,0.0121,0.19705,0.1549
26.94,0.02437,0.033,1185.39,1.07237,1105.39,0.0199,0.20373,0.3734
